moneyness_bucket,option_type,contract_count,mean_iv_mid,median_iv_mid,mean_iv_range,median_iv_range,max_iv_range,mean_iv_relative_range,median_iv_relative_range
far_below_spot,call,2,0.38414028589476273,0.38414028589476273,0.14326970952847784,0.14326970952847784,0.17603086512317145,0.3692713334128246,0.3692713334128246
below_spot,call,3,0.4473510704383024,0.3904206491073836,0.10585350040482606,0.08342534497803078,0.17830291922179242,0.2254505700495197,0.21368066768180843
above_spot,put,5,0.5071779702104415,0.4142372261595483,0.1351085072249763,0.07882844942781708,0.328421601533875,0.23626987421750453,0.2129744539187559
slightly_below_spot,call,3,0.35505864225367767,0.3177308621907998,0.03840116636834783,0.032147069551486385,0.05897530106375737,0.10538192518375168,0.10117704440112532
slightly_above_spot,put,3,0.3847261652872345,0.3478668714297768,0.03544730356684692,0.02940726809654004,0.055250253654174464,0.08862300591629231,0.08453598348032526
far_below_spot,put,3,0.5647849438606806,0.4899195381743814,0.030051547611577505,0.027600260519318298,0.03853939634163506,0.055493103897349245,0.05633631314678104
above_spot,call,5,0.405167505827697,0.3777978221052867,0.020390500893045626,0.019487511194392848,0.025094463127668942,0.05246205091697488,0.053097283190338976
below_spot,put,3,0.4839868810710435,0.42602264532293577,0.022458709009949247,0.0207889969792181,0.02777510698450747,0.04807599959794662,0.0487978683937318
slightly_above_spot,call,3,0.3506646011372787,0.31484624010446494,0.014071374800858303,0.01329235466708234,0.01681070438579446,0.04171500637207428,0.0422185593281088
slightly_below_spot,put,2,0.32663879319734684,0.32663879319734684,0.013505450542760977,0.013505450542760977,0.013974417931415295,0.04146361885648944,0.04146361885648944
near_atm,call,2,0.24316121965977738,0.24316121965977738,0.007883336681002773,0.007883336681002773,0.008852256554171434,0.03269865873329974,0.03269865873329974
near_atm,put,3,0.2699784739854975,0.2576055642419066,0.007680165597576005,0.007281665165232376,0.008852256554171545,0.028378929131595846,0.028266723145756543
